,Point,Coeff,Intercept,R2,2025,2030,2035,2040,2050,2075,2100,yearcoeff_mm,Lat,Long
147,"(30.5, -115.5)",-2.759155417890213e-06,0.5435833656623857,0.006842330944943908,0.5111246613263253,0.5060864435332577,0.5010482257401903,0.4960100079471227,0.4859308132055698,0.4607369650848142,0.4355431169640587,-1.0070917275299278,30.5,-115.5
148,"(30.5, -116.5)",-3.343782117586053e-06,0.5615916953149003,0.0149018633601834,0.5222554424836179,0.5161496963369058,0.5100439501901937,0.5039382040434816,0.4917233679679397,0.4611912934522614,0.4306592189365832,-1.2204804729189094,30.5,-116.5
149,"(30.5, -117.5)",-3.9373731339019525e-06,0.5830301493634461,0.031519930726967904,0.5367108918162236,0.5295212484737186,0.5223316051312136,0.5151419617887086,0.5007587377305648,0.4648065836449061,0.42885442955924735,-1.4371411938742125,30.5,-117.5
150,"(30.5, -118.5)",-4.245638058502512e-06,0.6036635872426366,0.051221803439888025,0.5537179011224129,0.5459653660275875,0.5382128309327618,0.5304602958379363,0.5149509800102267,0.4761840588980402,0.4374171377858538,-1.549657891353417,30.5,-118.5
168,"(30.5, -128.5)",-4.1784860078220677e-07,0.7332385656233661,0.0005067798863080952,0.7283229946837642,0.7275600031387359,0.7267970115937076,0.7260340200486792,0.7245076191100219,0.7206922435362796,0.7168768679625372,-0.15251473928550546,30.5,-128.5
169,"(30.5, -127.5)",-1.4111444873282982e-06,0.7242982048250204,0.005727072402377353,0.7076975010760903,0.7051207512422288,0.7025440014083674,0.6999672515745059,0.6948123407622956,0.6819271804485009,0.6690420201347063,-0.5150677378748288,30.5,-127.5
170,"(30.5, -126.5)",-2.2993577166364515e-06,0.7151911986279581,0.015564049814103531,0.6881415544494469,0.6839429272588687,0.6797443000682906,0.6755456728777124,0.6671461191388395,0.646150683828232,0.6251552485176246,-0.8392655665723049,30.5,-126.5
171,"(30.5, -125.5)",-2.992772635943282e-06,0.7056570264589036,0.02759843183535804,0.6704500491696669,0.6649852463364344,0.6595204435032019,0.6540556406699696,0.6431230422308687,0.6157960352920706,0.5884690283532725,-1.0923620121192978,30.5,-125.5
172,"(30.5, -124.5)",-3.4904891217764833e-06,0.6954585838766071,0.0401738207471245,0.6543964698480285,0.6480228367116646,0.6416492035753008,0.6352755704389369,0.6225248136770873,0.5906531575061463,0.5587815013352052,-1.2740285294484164,30.5,-124.5
173,"(30.5, -123.5)",-3.931026800034957e-06,0.68438500196951,0.05596429566443162,0.6381404026938988,0.6309623477570351,0.6237842928201711,0.6166062378833073,0.6022461969827796,0.5663519912716604,0.5304577855605412,-1.4348247820127595,30.5,-123.5
174,"(30.5, -122.5)",-4.3322462658884455e-06,0.6717055048317425,0.07510316453616528,0.6207409597598309,0.6128302780783186,0.6049195963968063,0.5970089147152939,0.5811832191060035,0.5416254784521761,0.5020677377983487,-1.5812698870492825,30.5,-122.5
175,"(30.5, -121.5)",-4.5261585361786235e-06,0.6568688744214723,0.08694492856135272,0.603623145401867,0.5953583799148049,0.5870936144277427,0.5788288489406805,0.56229479180802,0.520966438214173,0.479638084620326,-1.6520478657051978,30.5,-121.5
176,"(30.5, -120.5)",-4.482692039166134e-06,0.6400205357908395,0.08251743996786343,0.5872861466420891,0.5791007509785717,0.5709153553150543,0.562729959651537,0.5463546856324631,0.5054232246228372,0.4644917636132112,-1.6361825942956392,30.5,-120.5
177,"(30.5, -119.5)",-4.367790731691953e-06,0.6222291653237284,0.06821378901192521,0.5708464751561043,0.5628708892800347,0.5548953034039652,0.5469197175278957,0.530964177985025,0.4910818808139458,0.4511995836428666,-1.594243617067563,30.5,-119.5
180,"(30.5, -51.5)",-1.7437710341274134e-07,0.5402315307816885,5.551369999401423e-05,0.538180158537141,0.5378617459463093,0.5375433333554777,0.537224920764646,0.5365879212058793,0.5349956838746175,0.5334034465433558,-0.06364764274565059,30.5,-51.5
207,"(30.5, -52.5)",-1.024747086052689e-06,0.5502496411237283,0.0018935618292406087,0.5381945164034044,0.5363233282242723,0.5344521400451401,0.5325809518660078,0.5288375507606574,0.5194805851179103,0.5101236194751632,-0.37403268640923154,30.5,-52.5
208,"(30.5, -53.5)",-1.753974500257757e-06,0.5596199936640605,0.005548293980044528,0.5389862376430282,0.5357834802055575,0.5325807227680869,0.5293779653306162,0.5229706964811747,0.5069551553193211,0.4909396141574674,-0.6402006925940813,30.5,-53.5
209,"(30.5, -54.5)",-2.2201303583403433e-06,0.5676232101965133,0.008926689976984314,0.5415055966609975,0.5374516386266679,0.5333976805923386,0.5293437225580091,0.5212335863589919,0.5009615760569861,0.4806895657549805,-0.8103475807942253,30.5,-54.5
210,"(30.5, -55.5)",-2.4540064106873083e-06,0.5741581726423678,0.010871018608634042,0.5452892412270423,0.5408082255211273,0.5363272098152123,0.5318461941092972,0.5228817086910565,0.5004741761550707,0.4780666436190849,-0.8957123399008675,30.5,-55.5
224,"(30.5, -68.5)",-4.779906750360926e-07,0.6473577651594077,0.00025575643192143893,0.6417346828582831,0.6408618718856672,0.6399890609130513,0.6391162499404354,0.6373701500045286,0.633005617150774,0.6286410842970194,-0.1744665963881738,30.5,-68.5
225,"(30.5, -67.5)",-9.029095154824976e-07,0.6441762720834148,0.0008880320999806735,0.6335544445432787,0.6319057317680076,0.6302570189927366,0.6286083062174656,0.6253099777574079,0.6170655109715373,0.6088210441856666,-0.3295619731511116,30.5,-67.5
226,"(30.5, -66.5)",-8.690005789537995e-07,0.6394742071886429,0.0008200028392585379,0.6292512843778304,0.6276644893206608,0.6260776942634911,0.6244908992063215,0.6213164400914033,0.6133815958049761,0.605446751518549,-0.3171852113181368,30.5,-66.5
227,"(30.5, -65.5)",-5.487225426343426e-07,0.6331960546163752,0.00033401231507401713,0.6267408826248247,0.6257389152619744,0.6247369478991242,0.6237349805362739,0.6217304970880306,0.6167201115512364,0.6117097260144422,-0.20028372806153505,30.5,-65.5
228,"(30.5, -64.5)",-2.49515647852548e-07,0.6258426135044503,7.12709912278342e-05,0.6229073114231128,0.6224516958501342,0.6219960802771554,0.6215404647041766,0.6206289840425713,0.6183506566620296,0.6160723292814879,-0.09107321146618001,30.5,-64.5
