,Point,Coeff,Intercept,R2,2025,2030,2035,2040,2050,2075,2100,yearcoeff_mm,Lat,Long
781,"(32.5, -123.5)",-5.040815437146372e-06,0.6402762656306705,0.07278867356623286,0.5809761128280806,0.5717715838398514,0.5625670548516221,0.5533625258633927,0.5349484270714971,0.4889207413149136,0.4428930555583301,-1.8398976345584257,32.5,-123.5
782,"(32.5, -122.5)",-5.537116376047429e-06,0.6219453737744964,0.09763584461069086,0.5568067367266745,0.5466959622240118,0.5365851877213492,0.5264744132186867,0.5062473270969854,0.4556879174672963,0.4051285078376072,-2.0210474772573113,32.5,-122.5
783,"(32.5, -121.5)",-5.634001240532174e-06,0.6019447902088635,0.10568452216684067,0.535666399615243,0.5253787133500313,0.5150910270848195,0.5048033408196078,0.4842223342879437,0.4327782689606444,0.3813342036333451,-2.0564104527942435,32.5,-121.5
784,"(32.5, -120.5)",-5.391604558328767e-06,0.5836308644705682,0.0909623916743536,0.5202040284463886,0.5103589585228803,0.500513888599372,0.4906688186758637,0.4709732872242887,0.4217425460021887,0.3725118047800887,-1.96793566379,32.5,-120.5
785,"(32.5, -119.5)",-4.999529013246158e-06,0.5693147168024448,0.06795566983325417,0.510500257490617,0.5013711175124296,0.4922419775342421,0.4831128375560546,0.4648495580706664,0.4191988586507157,0.373548159230765,-1.824828089834848,32.5,-119.5
786,"(32.5, -118.5)",-4.635334459870552e-06,0.5587958550994353,0.049426010723380036,0.5042657805135181,0.4958016597897945,0.4873375390660709,0.4788734183423473,0.4619405415604401,0.4196153026073621,0.3772900636542841,-1.6918970778527513,32.5,-118.5
787,"(32.5, -117.5)",-4.42773760740572e-06,0.5504799396385335,0.03840058545957925,0.4983920344250126,0.4903069855538898,0.4822219366827669,0.474136887811644,0.4579623623317909,0.4175326902385693,0.3771030181453477,-1.6161242267030878,32.5,-117.5
788,"(32.5, -124.5)",-4.1753146659389926e-06,0.6555626919497519,0.04524597970492461,0.6064442902196456,0.598820165639641,0.5911960410596364,0.5835719164796318,0.5683194920049567,0.5301946937902677,0.4920698955755788,-1.5239898530677323,32.5,-124.5
884,"(33.5, -118.5)",-3.895662813259333e-06,0.5432087580409397,0.03308631549377638,0.4973801807057569,0.4902667004087454,0.4831532201117338,0.4760397398147223,0.461808883557886,0.42623758641001497,0.390666289262144,-1.4219169268396565,33.5,-118.5
885,"(33.5, -119.5)",-4.3007333504704694e-06,0.5508735117395076,0.04945365523894407,0.5002796846045731,0.4924265455066139,0.4845734064086548,0.4767202673106957,0.4610096883814272,0.4217396921582813,0.3824696959351354,-1.5697676729217214,33.5,-119.5
886,"(33.5, -120.5)",-4.6340768733286205e-06,0.5612744050058698,0.06956185095807654,0.5067591246680319,0.4982973002973338,0.4898354759266358,0.4813736515559377,0.4644453687376683,0.4221316128073046,0.379817856876941,-1.6914380587649465,33.5,-120.5
887,"(33.5, -121.5)",-4.751384805332343e-06,0.5748465128880955,0.08409817888599158,0.5189512220381658,0.5102751933836289,0.5015991647290922,0.4929231360745553,0.4755663273806762,0.4321814327231866,0.38879653806569703,-1.7342554539463053,33.5,-121.5
888,"(33.5, -122.5)",-4.602333131669872e-06,0.5911199103886762,0.08341978153743834,0.5369780634277118,0.5285742031292826,0.5201703428308534,0.5117664825324242,0.4949541596024342,0.4529302557771566,0.41090635195187897,-1.6798515930595033,33.5,-122.5
910,"(33.5, -129.5)",1.8493120546684031e-06,0.6920848440801374,0.008035614207243302,0.7138401510912564,0.7172169949030809,0.7205938387149055,0.72397068252673,0.7307262194624337,0.7476122878336109,0.7644983562047879,0.6749988999539671,33.5,-129.5
911,"(33.5, -128.5)",6.111093302822801e-07,0.6806734621775934,0.0009351794240309852,0.6878625523390342,0.6889784379761296,0.6900943236132249,0.6912102092503205,0.6934425916338416,0.6990226309286491,0.7046026702234567,0.22305490555303226,33.5,-128.5
912,"(33.5, -127.5)",-4.783053206199185e-07,0.6683573796680202,0.0006106026442928013,0.6627305958762475,0.6618572103607955,0.6609838248453436,0.6601104393298916,0.658363189993667,0.6539957841110865,0.649628378228506,-0.17458144202627027,33.5,-127.5
913,"(33.5, -126.5)",-1.531391821544216e-06,0.6553856392236809,0.006734496056567063,0.6373703458350347,0.634574024368895,0.6317777029027553,0.6289813814366155,0.6233872071125145,0.6094040683899943,0.5954209296674741,-0.5589580148636388,33.5,-126.5
914,"(33.5, -125.5)",-2.5602092517320536e-06,0.6411589515239887,0.020539075811264903,0.6110406498866129,0.6063657077929501,0.6016907656992874,0.5970158236056247,0.5876633792090474,0.5642861085314821,0.5409088378539166,-0.9344763768821995,33.5,-125.5
915,"(33.5, -124.5)",-3.472935039416005e-06,0.625480394832459,0.041618013101050184,0.5846247870287691,0.5782832076467954,0.5719416282648219,0.5656000488828482,0.5529134171838616,0.521202047338954,0.4894906774940465,-1.267621289386842,33.5,-124.5
